food_id,food_item,serving_size_g,category,main_ingredients,calories,protein_g,carbs_g,fat_g,fiber_g,nutrition_notes,dietary_tags,meal_type,dish_role,cal_per_100g,macro_basis,pairs_well_with,min_serving_g,max_serving_g,allergens,gi,gl,gi_category,prep_method,sodium_mg,sodium_category
SL011,Pol Sambol,30,Condiments & Pickles,"Grated coconut,onion,chili,lime,salt",85,1.2,3.5,7.5,2.0,Coconut relish,"Gluten-Free,Vegetarian,Vegan",condiment,side,283.3,per_serving,,20,40,none,28,1.0,low,raw,310,medium
SL012,Lunu Miris,20,Condiments & Pickles,"Red onion,chili,salt,lime",25,0.5,5.0,0.2,1.0,Spicy onion sambol,"Gluten-Free,Vegetarian,Vegan",condiment,condiment,125.0,per_serving,,15,25,none,28,1.4,low,raw,700,high
SL013,Seeni Sambol,30,Condiments & Pickles,"Onion,sugar,spices,tamarind",95,0.8,18.0,2.5,0.5,Sweet caramelized onion,"Gluten-Free,Vegetarian,Vegan",condiment,side,316.7,per_serving,,20,40,none,28,5.0,low,stir_fried,380,medium
SL014,Mallung,100,Leafy Greens & Herbs,"Leafy greens,coconut,onion,lime",120,3.5,8.0,8.0,4.0,Finely chopped greens,"Gluten-Free,Vegetarian,Vegan",condiment,side,120.0,per_serving,,75,125,none,22,1.8,low,boiled,35,low
SL015,Gotukola Sambol,100,Leafy Greens & Herbs,"Gotukola leaves,coconut,onion,lime",115,3.2,7.5,8.0,4.5,Centella asiatica salad,"Gluten-Free,Vegetarian,Vegan",condiment,side,115.0,per_serving,,75,125,none,22,1.6,low,raw,415,high
SL016,Kankun Mallung,100,Leafy Greens & Herbs,"Kankun leaves,coconut,onion,spices",110,3.0,6.8,7.5,4.0,Water spinach salad,"Gluten-Free,Vegetarian,Vegan",condiment,side,110.0,per_serving,,75,125,none,22,1.5,low,boiled,10,low
SL017,Snake Gourd Curry,150,Vegetables,"Snake gourd,coconut milk,spices",140,2.5,12.0,9.0,3.0,Mild creamy curry,"Gluten-Free,Vegetarian",lunch_dinner,side,93.3,per_serving,,110,190,none,38,4.6,low,boiled,40,low
SL018,Bitter Gourd Curry,120,Vegetables,"Bitter gourd,onion,spices,coconut milk",135,3.0,10.0,8.5,4.5,Medicinal bitter curry,"Gluten-Free,Vegetarian",lunch_dinner,side,112.5,per_serving,,90,150,none,38,3.8,low,boiled,55,low
SL019,Pumpkin Curry,150,Vegetables,"Pumpkin,coconut milk,spices",155,2.0,18.0,8.5,3.0,Sweet creamy curry,"Gluten-Free,Vegetarian",lunch_dinner,side,103.3,per_serving,,110,190,none,38,6.8,low,boiled,60,low
SL020,Jackfruit Curry,200,Vegetables,"Young jackfruit,coconut milk,spices",210,3.5,25.0,12.0,6.0,Meaty vegetarian curry,"Gluten-Free,Vegetarian",lunch_dinner,side,105.0,per_serving,,150,250,none,52,13.0,low,boiled,95,low
SL021,Brinjal Moju,100,Vegetables,"Eggplant,spices,oil,tamarind",180,1.5,15.0,13.0,4.0,Eggplant pickle,"Gluten-Free,Vegetarian,Vegan",lunch_dinner,side,180.0,per_serving,,75,125,none,38,5.7,low,deep_fried,105,low
SL022,Fried Fish,100,Seafood,"Fish,spices,oil,lime",210,22.0,2.0,13.0,0.0,Crispy fried fish,"Gluten-Free,Pescatarian",lunch_dinner,side,210.0,per_serving,,75,125,fish,0,0.0,low,shallow_fried,215,medium
SL023,Fish Curry,200,Seafood,"Fish,coconut milk,spices,tamarind",320,25.0,12.0,20.0,2.0,Rich spicy fish curry,"Gluten-Free,Pescatarian",lunch_dinner,side,160.0,per_serving,,150,250,fish,0,0.0,low,boiled,485,high
SL024,Prawn Curry,180,Seafood,"Prawns,coconut milk,spices",280,24.0,10.0,18.0,1.0,Creamy prawn curry,"Gluten-Free,Pescatarian",lunch_dinner,side,155.6,per_serving,,135,225,shellfish,0,0.0,low,boiled,300,medium
SL025,Chicken Curry,200,Poultry & Meat,"Chicken,spices,coconut milk",380,28.0,8.0,26.0,1.0,Classic Sri Lankan chicken,Gluten-Free,lunch_dinner,side,190.0,per_serving,,150,250,none,0,0.0,low,boiled,565,high
SL026,Deviled Chicken,150,Poultry & Meat,"Chicken,onion,chili,spices",290,25.0,12.0,16.0,2.0,Spicy stir-fried chicken,Gluten-Free,lunch_dinner,side,193.3,per_serving,,110,190,none,0,0.0,low,stir_fried,530,high
SL027,Polos Curry,200,Vegetables,"Young jackfruit,coconut milk,spices",220,3.8,26.0,12.0,7.0,Jackfruit meat alternative,"Gluten-Free,Vegetarian",lunch_dinner,side,110.0,per_serving,,150,250,none,52,13.5,low,boiled,120,low
SL028,Wambatu Moju,100,Vegetables,"Brinjal,spices,oil,tamarind",175,1.2,14.0,12.5,4.5,Eggplant pickle sweet-sour,"Gluten-Free,Vegetarian,Vegan",lunch_dinner,side,175.0,per_serving,,75,125,none,38,5.3,low,deep_fried,100,low
SL029,Kiri Hodi,150,Curries & Gravies,"Coconut milk,onion,green chili,spices",210,3.5,8.0,18.0,0.5,Mild white coconut gravy,"Gluten-Free,Vegetarian",any,side,140.0,per_serving,,110,190,none,40,3.2,low,boiled,465,high
SL030,Papadam,15,Snacks & Appetizers,"Black gram flour,oil,salt",70,2.5,4.0,4.5,0.5,Thin crispy disc,"Gluten-Free,Vegetarian,Vegan",snack,condiment,466.7,per_serving,,10,20,none,70,2.8,medium,deep_fried,260,medium
SL031,Murukku,30,Snacks & Appetizers,"Rice flour,black gram flour,oil,spices",150,2.0,18.0,8.0,0.5,Spiral crunchy snack,"Gluten-Free,Vegetarian,Vegan",snack,standalone,500.0,per_serving,,25,35,none,70,12.6,medium,deep_fried,380,medium
SL032,Thalapa,200,Grains & Rice Dishes,"Red rice,fish,spices,coconut",420,18.0,55.0,15.0,5.0,Fisherman's mixed meal,"Gluten-Free,Pescatarian",breakfast,main,210.0,per_serving,"SL029,SL130",130,270,fish,55,30.2,low,boiled,250,medium
SL033,Kola Kanda,250,Beverages,"Herbal greens,rice flour,coconut milk",280,6.0,45.0,9.0,6.0,Herbal medicinal porridge,"Gluten-Free,Vegetarian",breakfast,standalone,112.0,per_serving,,210,290,none,45,20.2,low,boiled,20,low
SL034,Coconut Sambol,30,Condiments & Pickles,"Grated coconut,chili,onion,lime",90,1.3,4.0,8.0,2.5,Essential Sri Lankan condiment,"Gluten-Free,Vegetarian,Vegan",condiment,side,300.0,per_serving,,20,40,none,28,1.1,low,raw,815,high
SL035,Tempered Potatoes,150,Vegetables,"Potato,onion,spices,oil",210,3.5,28.0,10.0,3.0,Spicy potato stir-fry,"Gluten-Free,Vegetarian,Vegan",lunch_dinner,side,140.0,per_serving,,110,190,none,38,10.6,low,stir_fried,140,medium
SL036,Cashew Curry,150,Nuts & Seeds,"Cashew nuts,coconut milk,spices",420,9.0,18.0,35.0,3.5,Rich creamy curry,"Gluten-Free,Vegetarian",lunch_dinner,side,280.0,per_serving,,120,180,nuts,30,5.4,low,boiled,280,medium
SL037,Mango Curry,150,Vegetables,"Green mango,coconut milk,spices",165,1.5,22.0,9.0,3.0,Sweet-sour mango,"Gluten-Free,Vegetarian",lunch_dinner,side,110.0,per_serving,,110,190,none,38,8.4,low,boiled,125,low
SL038,Wood Apple Curry,150,Vegetables,"Wood apple,coconut milk,spices",175,3.0,25.0,8.0,4.0,Unique tangy curry,"Gluten-Free,Vegetarian",lunch_dinner,side,116.7,per_serving,,110,190,none,38,9.5,low,boiled,135,low
SL039,Ash Plantain Curry,150,Vegetables,"Ash plantain,coconut milk,spices",190,2.0,30.0,8.0,4.0,Starchy fruit curry,"Gluten-Free,Vegetarian",lunch_dinner,side,126.7,per_serving,,110,190,none,50,15.0,low,boiled,50,low
SL040,Lentil Fritters,40,Pulses & Legumes,"Red lentils,onion,spices,oil",90,8.5,22.0,10.0,6.0,Protein-rich snack,"Gluten-Free,Vegetarian",snack,side,225.0,per_serving,,30,80,none,32,7.0,low,deep_fried,330,medium
SL041,Coconut Roti,120,Roti & Flatbreads,"Wheat flour,coconut,onion,chili",340,7.0,48.0,13.0,5.5,Filled coconut flatbread,"Contains Gluten,Vegetarian",any,main,283.3,per_serving,"SL010,SL017,SL018,SL019,SL029,SL130,SL202",80,160,gluten,58,27.8,medium,shallow_fried,260,medium
SL042,Sambol Rice,300,Grains & Rice Dishes,"Rice,mixed vegetables,coconut sambol",520,12.0,85.0,15.0,8.0,Complete meal bowl,"Gluten-Free,Vegetarian,Vegan",lunch_dinner,standalone,173.3,per_serving,,250,450,none,70,59.5,medium,boiled,575,high
SL043,Saffron Rice,200,Grains & Rice Dishes,"Rice,spices,ghee,onion",320,5.0,58.0,8.0,1.5,Fragrant festive rice,"Gluten-Free,Vegetarian",lunch_dinner,main,160.0,per_serving,"SL010,SL019,SL020,SL023,SL024,SL025",130,270,dairy,68,39.4,medium,boiled,170,medium
SL044,Sweet Curd,100,Dairy Products,"Buffalo milk,curd culture,sugar",160,4.5,12.0,8.0,0.0,Traditional yogurt-style dairy,"Gluten-Free,Vegetarian",breakfast,side,160.0,per_serving,,80,120,dairy,30,3.6,low,fermented,70,low
SL045,Kitul Treacle,20,Natural Sweeteners,Kitul palm sap,65,0.0,16.0,0.0,0.0,Natural sweetener,"Gluten-Free,Vegetarian,Vegan",condiment,condiment,325.0,per_serving,,15,25,none,60,9.6,medium,raw,5,low
SL046,Watalappan,100,Desserts & Sweets,"Coconut milk,eggs,jaggery,cashew",280,6.0,28.0,16.0,1.0,Steamed coconut custard,"Gluten-Free,Vegetarian",snack,standalone,280.0,per_serving,,70,130,"egg,nuts",55,15.4,low,steamed,70,low
SL047,Love Cake,80,Desserts & Sweets,"Cashew nuts,semolina,coconut,jam",320,4.5,42.0,15.0,1.5,Burgher community cake,Contains Gluten,snack,standalone,400.0,per_serving,,55,105,"gluten,nuts",55,23.1,low,baked,40,low
SL048,Kavum,50,Desserts & Sweets,"Rice flour,jaggery,oil",190,1.5,30.0,7.5,0.5,Traditional oil cake,"Gluten-Free,Vegetarian",snack,standalone,380.0,per_serving,,35,65,none,68,20.4,medium,deep_fried,25,low
SL049,Kokis,40,Desserts & Sweets,"Rice flour,coconut milk,oil",175,1.2,22.0,9.0,0.3,Crispy deep-fried sweet,"Gluten-Free,Vegetarian",snack,standalone,437.5,per_serving,,30,50,none,68,15.0,medium,deep_fried,25,low
SL050,Aluwa,50,Desserts & Sweets,"Rice flour,coconut,sugar",210,2.0,35.0,7.0,1.5,Semolina-based sweet,"Gluten-Free,Vegetarian",snack,standalone,420.0,per_serving,,35,65,none,65,22.8,medium,deep_fried,45,low
SL051,Milk Rice,150,Grains & Rice Dishes,"White rice,coconut milk,salt",310,4.5,55.0,8.0,1.0,Alternative kiribath name,"Gluten-Free,Vegetarian",breakfast,main,206.7,per_serving,"SL044,SL074",100,200,none,72,39.6,high,boiled,125,low
SL052,Tempered Cashews,100,Nuts & Seeds,"Cashew nuts,onion,chili,spices",520,12.0,20.0,44.0,4.0,Rich crunchy appetizer,"Gluten-Free,Vegetarian,Vegan",snack,side,520.0,per_serving,,80,120,nuts,20,4.0,low,stir_fried,5,low
SL053,Green Bean Curry,150,Vegetables,"Green beans,coconut milk,spices",145,3.5,12.0,9.0,4.5,Simple everyday curry,"Gluten-Free,Vegetarian",lunch_dinner,side,96.7,per_serving,,110,190,none,38,4.6,low,boiled,140,medium
SL054,Beetroot Curry,150,Vegetables,"Beetroot,coconut milk,spices",140,2.5,15.0,8.0,3.0,Sweet earthy curry,"Gluten-Free,Vegetarian",lunch_dinner,side,93.3,per_serving,,110,190,none,38,5.7,low,boiled,75,low
SL055,Carrot Curry,150,Vegetables,"Carrot,coconut milk,spices",135,1.8,14.0,8.0,3.5,Rich in vitamin A,"Gluten-Free,Vegetarian",lunch_dinner,side,90.0,per_serving,,110,190,none,38,5.3,low,boiled,105,low
SL056,Leek Curry,150,Vegetables,"Leek,coconut milk,spices",130,2.5,10.0,9.0,3.0,Mild flavored curry,"Gluten-Free,Vegetarian",lunch_dinner,side,86.7,per_serving,,110,190,none,38,3.8,low,boiled,65,low
SL057,Cabbage Curry,150,Vegetables,"Cabbage,coconut milk,spices",125,2.5,11.0,8.0,4.0,Simple everyday curry,"Gluten-Free,Vegetarian",lunch_dinner,side,83.3,per_serving,,110,190,none,38,4.2,low,boiled,135,low
SL058,Lunupola,10,Spices & Seasonings,"Chili powder,salt,spices",18,0.5,3.5,0.2,1.0,Chili paste seasoning,"Gluten-Free,Vegetarian,Vegan",condiment,condiment,180.0,per_serving,,5,15,none,10,0.4,low,raw,5,low
SL059,Maldive Fish,10,Seafood,Smoked tuna,15,3.5,0.0,0.5,0.0,Dried fish flakes,"Gluten-Free,Pescatarian",condiment,condiment,150.0,per_serving,,5,15,fish,0,0.0,low,raw,850,high
SL060,Kiriala,10,Vegetables,Seaweed,30,6.0,0.0,0.3,0.0,Edible seaweed salad,"Gluten-Free,Vegetarian,Vegan",lunch_dinner,side,300.0,per_serving,,5,15,none,38,0.0,low,raw,90,low
SL061,Rasam,150,Soups & Broths,"Tamarind,tomato,spices,mustard",70,1.5,12.0,1.5,2.0,Tangy pepper soup,"Gluten-Free,Vegetarian,Vegan",lunch_dinner,side,46.7,per_serving,,120,180,none,25,3.0,low,boiled,675,high
SL062,Sinhala Curry Powder,10,Spices & Seasonings,"Coriander,cumin,fennel,spices",32,1.0,5.0,1.2,2.5,Spice blend,"Gluten-Free,Vegetarian,Vegan",condiment,condiment,320.0,per_serving,,5,15,none,10,0.5,low,raw,10,low
SL063,Black Pork Curry,200,Poultry & Meat,"Pork,spices,vinegar,garlic",450,30.0,8.0,32.0,1.0,Rich dark pork curry,Gluten-Free,lunch_dinner,side,225.0,per_serving,,150,250,none,0,0.0,low,boiled,395,medium
SL064,Mutton Curry,200,Poultry & Meat,"Mutton,spices,coconut milk",450,28.0,10.0,32.0,2.0,Spicy goat curry,Gluten-Free,lunch_dinner,side,225.0,per_serving,,150,250,none,0,0.0,low,boiled,240,medium
SL065,Squid Curry,180,Seafood,"Squid,coconut milk,spices",260,22.0,12.0,15.0,1.5,Tender squid in gravy,"Gluten-Free,Pescatarian",lunch_dinner,side,144.4,per_serving,,135,225,none,0,0.0,low,boiled,480,high
SL066,Crab Curry,200,Seafood,"Crab,coconut milk,spices",280,24.0,10.0,18.0,1.0,Coastal delicacy,"Gluten-Free,Pescatarian",lunch_dinner,side,140.0,per_serving,,150,250,shellfish,0,0.0,low,boiled,350,medium
SL067,Lamprais,400,Grains & Rice Dishes,"Rice,meat,egg,brinjal,sambol",850,32.0,95.0,38.0,8.0,Dutch Burgher meal,Contains Gluten,lunch_dinner,standalone,212.5,per_serving,,380,420,"egg,gluten",70,66.5,medium,baked,825,high
SL068,Frikkadel,120,Poultry & Meat,"Beef,breadcrumbs,onion,spices",280,18.0,12.0,18.0,1.5,Dutch meatballs,Contains Gluten,lunch_dinner,side,233.3,per_serving,,90,150,gluten,0,0.0,low,deep_fried,520,high
SL069,Bibikkan,80,Desserts & Sweets,"Coconut,jaggery,semolina,cashew",310,4.0,48.0,12.0,3.0,Coconut cake,Contains Gluten,snack,standalone,387.5,per_serving,,55,105,"gluten,nuts",58,27.8,medium,baked,60,low
SL070,Kiri Toffee,50,Desserts & Sweets,"Milk,sugar,cashew",200,3.0,35.0,6.0,0.0,Milk fudge,"Gluten-Free,Vegetarian",snack,standalone,400.0,per_serving,,35,65,"dairy,nuts",60,21.0,medium,boiled,75,low
SL071,Jaggery,15,Natural Sweeteners,Palm jaggery,55,0.1,14.0,0.0,0.0,Natural unrefined sugar,"Gluten-Free,Vegetarian,Vegan",condiment,condiment,366.7,per_serving,,10,20,none,60,8.4,medium,raw,5,low
SL072,Kithul Jaggery,15,Natural Sweeteners,Kithul palm sap,58,0.1,14.5,0.0,0.0,Fiber-rich sweetener,"Gluten-Free,Vegetarian,Vegan",condiment,condiment,386.7,per_serving,,10,20,none,60,8.7,medium,raw,10,low
SL073,Pol Pani,15,Natural Sweeteners,Coconut sap,55,0.1,14.0,0.0,0.0,Coconut treacle,"Gluten-Free,Vegetarian,Vegan",condiment,condiment,366.7,per_serving,,10,20,none,60,8.4,medium,raw,5,low
SL074,Mee Kiri,150,Dairy Products,"Sour milk,coconut,spices",210,6.0,12.0,15.0,1.5,Soured milk preparation,"Gluten-Free,Vegetarian",breakfast,side,140.0,per_serving,,120,180,dairy,30,3.6,low,fermented,140,medium
SL075,Thalaguli,40,Desserts & Sweets,"Sesame seeds,jaggery",192,4.8,16.0,12.0,8.0,Sesame sweet balls,"Gluten-Free,Vegetarian,Vegan",snack,standalone,480.0,per_serving,,20,60,none,52,8.3,low,raw,25,low
SL076,Kalu Dodol,80,Desserts & Sweets,"Rice flour,coconut milk,jaggery",320,2.0,55.0,10.0,1.0,Dark sticky toffee,"Gluten-Free,Vegetarian",snack,standalone,400.0,per_serving,,55,105,none,65,35.8,medium,boiled,20,low
SL077,Puhul Dosi,80,Desserts & Sweets,"Pumpkin,jaggery,coconut",210,1.5,45.0,3.0,3.0,Pumpkin preserve,"Gluten-Free,Vegetarian,Vegan",snack,standalone,262.5,per_serving,,55,105,none,62,27.9,medium,boiled,60,low
SL078,Mung Kavum,50,Desserts & Sweets,"Green gram flour,jaggery",180,4.0,30.0,5.0,3.0,Mung bean sweet,"Gluten-Free,Vegetarian",snack,standalone,360.0,per_serving,,35,65,none,45,13.5,low,deep_fried,35,low
SL079,Undu Walalu,50,Desserts & Sweets,"Black gram flour,jaggery",195,4.5,32.0,6.0,2.5,Black gram sweet rolls,"Gluten-Free,Vegetarian",snack,standalone,390.0,per_serving,,35,65,none,42,13.4,low,deep_fried,70,low
SL080,Athiraha,50,Desserts & Sweets,"Rice flour,jaggery,ghee",200,2.0,38.0,5.0,1.0,Deep-fried sweet,"Gluten-Free,Vegetarian",snack,standalone,400.0,per_serving,,35,65,dairy,68,25.8,medium,deep_fried,40,low
SL081,Thala Hakuru,40,Desserts & Sweets,"Sesame seeds,jaggery",208,6.0,14.0,15.2,10.0,Sesame jaggery block,"Gluten-Free,Vegetarian,Vegan",snack,standalone,520.0,per_serving,,20,60,none,52,7.3,low,raw,25,low
SL082,Nelli Pickle,50,Condiments & Pickles,"Indian gooseberry,spices,oil",95,0.5,12.0,5.0,2.0,Tangy gooseberry pickle,"Gluten-Free,Vegetarian,Vegan",condiment,condiment,190.0,per_serving,,35,65,none,28,3.4,low,raw,835,high
SL083,Amba Pickle,50,Condiments & Pickles,"Mango,spices,oil",85,0.3,10.0,5.0,1.5,Spicy mango pickle,"Gluten-Free,Vegetarian,Vegan",condiment,condiment,170.0,per_serving,,35,65,none,28,2.8,low,raw,520,high
SL084,Inguru Maluwa,150,Vegetables,"Ginger,chili,onion",150,2.0,14.0,8.0,2.0,Ginger chutney,"Gluten-Free,Vegetarian,Vegan",lunch_dinner,condiment,100.0,per_serving,,110,190,none,38,5.3,low,stir_fried,140,medium
SL085,Kos Atta,100,Vegetables,"Jackfruit seeds,coconut,spices",180,4.5,28.0,6.0,6.0,Jackfruit seed curry,"Gluten-Free,Vegetarian",lunch_dinner,side,180.0,per_serving,,75,125,none,38,10.6,low,boiled,40,low
SL086,Del Curry,150,Vegetables,"Breadfruit,coconut milk,spices",210,2.5,35.0,8.0,6.0,Breadfruit curry,"Gluten-Free,Vegetarian",lunch_dinner,side,140.0,per_serving,,110,190,gluten,55,19.2,low,boiled,80,low
SL087,Kohila Curry,150,Vegetables,"Lasia spinosa,coconut milk,spices",140,2.5,18.0,7.0,4.5,Spiny lasia curry,"Gluten-Free,Vegetarian",lunch_dinner,side,93.3,per_serving,,110,190,none,38,6.8,low,boiled,65,low
SL088,Nellika Mallung,100,Leafy Greens & Herbs,"Indian gooseberry,coconut,onion",110,2.0,12.0,6.0,5.0,Gooseberry greens mix,"Gluten-Free,Vegetarian,Vegan",condiment,side,110.0,per_serving,,75,125,none,22,2.6,low,boiled,40,low
SL089,Kola Mallung,100,Leafy Greens & Herbs,"Mixed greens,coconut,onion,lime",115,3.0,7.0,8.0,4.5,Assorted leafy greens,"Gluten-Free,Vegetarian,Vegan",condiment,side,115.0,per_serving,,75,125,none,22,1.5,low,boiled,50,low
SL090,Kiri Ala,150,Vegetables,"Yam,coconut milk,spices",190,2.5,28.0,7.0,3.5,Yam curry,"Gluten-Free,Vegetarian",lunch_dinner,side,126.7,per_serving,,110,190,none,55,15.4,low,boiled,135,low
SL091,Hathmaluwa,200,Vegetables,"Mixed vegetables,coconut milk,spices",210,4.0,22.0,12.0,6.0,Seven vegetable curry,"Gluten-Free,Vegetarian",lunch_dinner,side,105.0,per_serving,,150,250,none,38,8.4,low,boiled,75,low
SL092,Miris Gala,100,Snacks & Appetizers,"Chili,rice flour,oil",320,3.0,45.0,15.0,4.0,Fried chili snack,"Gluten-Free,Vegetarian,Vegan",snack,standalone,320.0,per_serving,,85,115,none,68,30.6,medium,deep_fried,235,medium
SL094,Kiri Peni,100,Desserts & Sweets,"Milk,sugar",260,5.0,35.0,12.0,0.0,Milk toffee (sweet candy),"Gluten-Free,Vegetarian",snack,standalone,260.0,per_serving,,70,130,dairy,60,21.0,medium,boiled,40,low
SL095,Pani Walalu,60,Desserts & Sweets,"Rice flour,jaggery",230,2.0,42.0,6.0,1.0,Honeycomb shaped sweet,"Gluten-Free,Vegetarian",snack,standalone,383.3,per_serving,,40,80,none,65,27.3,medium,deep_fried,35,low
SL096,Kalu Kavum,50,Desserts & Sweets,"Rice flour,jaggery",190,1.5,32.0,6.0,1.0,Dark oil cake,"Gluten-Free,Vegetarian",snack,standalone,380.0,per_serving,,35,65,none,68,21.8,medium,deep_fried,60,low
SL097,Thalapa Dosi,200,Grains & Rice Dishes,"Red rice,fish,coconut",420,18.0,55.0,14.0,5.0,Mixed fish and rice,"Gluten-Free,Pescatarian",breakfast,main,210.0,per_serving,"SL010,SL029",130,270,fish,55,30.2,low,boiled,170,medium
SL098,Kurakkan Roti,120,Millet & Ancient Grains,"Finger millet flour,coconut,onion",280,6.0,45.0,8.0,7.0,Healthy millet roti,"Gluten-Free,Vegetarian,Vegan",any,main,233.3,per_serving,"SL010,SL029,SL044",80,160,none,54,24.3,low,shallow_fried,170,medium
SL099,Kurakkan Pittu,150,Millet & Ancient Grains,"Finger millet flour,coconut",300,6.5,52.0,8.0,9.0,Millet steamed rolls,"Gluten-Free,Vegetarian,Vegan",any,main,200.0,per_serving,"SL010,SL029,SL130",100,200,none,54,28.1,low,steamed,200,medium
SL100,Kurakkan Thalapa,200,Millet & Ancient Grains,"Finger millet,fish,coconut",400,16.0,55.0,13.0,10.0,Millet with fish,"Gluten-Free,Pescatarian",breakfast,main,200.0,per_serving,"SL029,SL130",130,270,fish,54,29.7,low,shallow_fried,165,medium
SL101,Ragi Ambula,250,Fermented Foods,"Finger millet,buttermilk",180,5.0,35.0,2.0,5.0,Millet fermented drink,"Gluten-Free,Vegetarian",breakfast,standalone,72.0,per_serving,,175,325,dairy,52,18.2,low,fermented,630,high
SL102,Belimal Curry,150,Vegetables,"Bael fruit,coconut milk,spices",170,2.5,28.0,6.0,5.0,Wood apple curry,"Gluten-Free,Vegetarian",lunch_dinner,side,113.3,per_serving,,110,190,none,38,10.6,low,boiled,40,low
SL103,Diyawara,200,Seafood,"Freshwater fish,coconut milk,spices",340,28.0,12.0,20.0,2.0,Fish from reservoirs,"Gluten-Free,Pescatarian",lunch_dinner,side,170.0,per_serving,,150,250,fish,0,0.0,low,boiled,285,medium
SL104,Koonissu,50,Snacks & Appetizers,"Rice flour,coconut,mustard",220,3.0,35.0,8.0,2.5,Stuffed rice rolls,"Gluten-Free,Vegetarian,Vegan",snack,standalone,440.0,per_serving,,40,55,none,68,23.8,medium,deep_fried,425,high
SL105,Pani Pani,30,Desserts & Sweets,"Rice flour,coconut milk,sugar",120,1.0,20.0,4.0,0.5,Steamed sweet cakes,"Gluten-Free,Vegetarian",snack,standalone,400.0,per_serving,,20,40,none,60,12.0,medium,steamed,65,low
SL106,Halapa,60,Desserts & Sweets,"Rice flour,coconut,jaggery",210,2.5,38.0,6.0,2.5,Steamed sweet parcels,"Gluten-Free,Vegetarian",snack,standalone,350.0,per_serving,,40,80,none,65,24.7,medium,steamed,35,low
SL107,Kiri Bath,150,Grains & Rice Dishes,"White rice,coconut milk,salt",310,4.5,55.0,8.0,1.0,Milk rice festive,"Gluten-Free,Vegetarian",breakfast,main,206.7,per_serving,SL044,100,200,none,72,39.6,high,boiled,140,medium
SL108,Kakulu Bath,150,Grains & Rice Dishes,"Red rice,coconut milk",320,5.0,58.0,8.0,2.5,Festive red rice,"Gluten-Free,Vegetarian",breakfast,main,213.3,per_serving,"SL044,SL074",100,200,none,55,31.9,low,boiled,220,medium
